,City,Country,Temperatures (F),Latitude,Longitude,Humidity %,Wind (mph),Cloudiness
425,asau,RO,36.0,46.4333,26.4,71,2.53,74
426,yeppoon,AU,77.0,-23.1333,150.7333,69,8.05,90
427,excelsior springs,US,15.62,39.3392,-94.2261,67,9.22,90
428,padang,ID,73.4,-0.9492,100.3543,88,3.44,40
429,inhambane,MZ,79.0,-23.865,35.3833,83,13.73,43
430,devarkonda,IN,63.34,16.7,78.9333,69,1.23,0
431,tautira,PF,75.09,-17.7333,-149.15,78,11.5,75
432,northam,GB,28.33,51.0333,-4.2167,79,1.99,65
433,north battleford,CA,-16.6,52.7834,-108.2847,58,16.11,90
434,pio xii,BR,75.76,-3.8325,-45.1525,95,3.71,55
435,seydi,TM,44.31,39.4816,62.9137,65,8.25,0
436,san andres,CO,84.2,12.5847,-81.7006,65,11.5,20
437,benguela,AO,77.0,-12.5763,13.4055,78,6.71,100
438,muli,MV,80.58,2.9167,73.5667,76,11.65,31
439,bhan,PK,59.59,26.5583,67.7214,36,0.63,27
440,praia,CV,69.8,14.9215,-23.5087,78,16.11,40
441,eenhana,NA,73.4,-17.4667,16.3333,88,9.22,100
442,nchelenge,ZM,71.06,-9.3451,28.734,84,5.77,100
443,norman wells,CA,-25.6,65.282,-126.8329,68,3.44,75
444,buraydah,SA,53.6,26.326,43.975,94,5.19,0
445,maiquetia,VE,74.57,10.5962,-66.9548,69,7.09,34
446,oistins,BB,78.8,13.0667,-59.5333,61,19.57,40
447,magadan,RU,14.38,59.5667,150.8,89,11.05,100
448,alta floresta,BR,73.92,-9.8756,-56.0861,93,1.7,94
449,ballitoville,ZA,77.0,-29.539,31.2144,88,8.05,75
450,terrace,CA,5.0,54.5163,-128.6035,51,20.71,1
451,waipawa,NZ,65.73,-41.4122,175.5153,49,21.85,98
452,bilibino,RU,-7.6,68.0546,166.4372,86,2.57,87
453,ternate,ID,81.46,0.8,127.4,80,5.12,100
454,cockburn town,TC,77.29,21.4612,-71.1419,78,15.61,0
455,chillan,CL,87.8,-36.6066,-72.1034,37,12.66,20
456,bulri,PK,59.74,24.8667,68.3333,32,2.95,50
457,biak,ID,78.76,-0.9131,122.8766,76,1.32,100
458,dubuque,US,10.76,42.4833,-90.8668,52,11.5,20
459,hamilton,US,21.81,39.1834,-84.5333,86,9.22,90
460,itapirapua,BR,74.43,-15.8233,-50.6133,87,2.8,86
461,brae,GB,36.37,60.3964,-1.353,80,13.89,51
462,bairiki,KI,84.2,1.3292,172.9752,74,14.97,75
463,yining,CN,50.83,29.0361,114.5636,92,2.21,100
464,baykit,RU,-13.63,61.67,96.37,85,2.24,100
465,tecoanapa,MX,82.4,16.5167,-98.75,66,11.12,0
466,bhatkal,IN,73.36,13.9667,74.5667,42,4.18,52
467,auki,SB,82.4,-8.7676,160.7034,80,8.01,45
468,amaraji,BR,80.6,-8.3831,-35.4525,69,10.36,75
469,seddon,AU,83.26,-37.8068,144.8916,41,18.41,54
470,yinchuan,CN,37.87,38.4681,106.2731,70,3.42,96
471,panguna,PG,75.67,-6.3164,155.4848,88,2.21,100
472,egvekinot,RU,-25.02,66.3167,-179.1667,82,13.22,4
473,key west,US,78.31,24.5557,-81.7826,73,12.66,20
474,paoua,CF,68.49,7.2427,16.4406,23,2.37,82
475,rionegro,CO,60.78,6.1552,-75.3737,88,6.91,40
476,come,BJ,84.2,6.4076,1.882,89,11.5,40
477,slavsk,RU,5.49,55.0425,21.677,94,7.31,81
478,daru,PG,82.53,-9.0763,143.2092,82,4.79,100
479,aksha,RU,14.94,50.2814,113.2867,95,3.31,100
480,dingle,PH,76.84,10.9995,122.6711,87,1.34,44
481,catio,GW,72.09,11.2833,-15.25,87,5.77,65
482,khujner,IN,59.83,23.7833,76.6,36,2.68,76
483,svetlogorsk,BY,6.24,52.6333,29.7333,95,3.96,100
484,bera,BD,60.15,24.0833,89.6167,53,5.59,11
485,roald,NO,20.28,62.5833,6.1333,54,10.36,0
486,yanam,IN,62.92,16.7333,82.2167,94,2.62,52
487,haveli,PK,54.93,30.4502,73.6989,40,1.83,0
488,lamar,US,30.97,33.6668,-95.5836,100,14.97,90
489,macusani,PE,37.56,-14.0833,-70.4333,89,6.4,99
490,san miguel,SV,93.22,13.4833,-88.1833,34,6.91,0
491,porvoo,FI,6.26,60.3923,25.6651,92,6.91,0
492,tommot,RU,-3.12,58.9564,126.2925,88,0.65,98
493,mehamn,NO,24.8,71.0357,27.8492,58,17.27,40
494,kieta,PG,81.37,-6.2167,155.6333,81,9.26,80
495,vigrestad,NO,20.44,58.5667,5.7,62,4.61,0
496,alice springs,AU,86.56,-23.7,133.8833,58,12.66,34
497,san carlos de bariloche,AR,86.0,-41.1456,-71.3082,23,4.61,20
498,salalah,OM,75.2,17.0151,54.0924,35,8.05,0
499,kyshtovka,RU,-25.71,56.555,76.6271,85,7.58,0
500,tateyama,JP,44.37,34.9833,139.8667,57,11.5,20
501,rancho palos verdes,US,59.47,33.7445,-118.387,67,11.5,40
502,rock sound,BS,75.4,24.9,-76.2,80,15.17,79
503,aykhal,RU,-21.01,66.0,111.5,85,6.26,49
504,derzhavinsk,KZ,-3.41,51.1,66.3167,92,7.58,100
505,vardo,NO,17.58,70.3705,31.1107,73,31.07,40
506,vestmannaeyjar,IS,41.09,63.4427,-20.2734,68,26.98,92
507,davidson,US,54.43,36.1501,-86.7833,76,13.8,90
508,zambezi,ZM,67.05,-13.5432,23.1047,96,3.38,100
509,ocampo,MX,70.27,21.65,-101.5,23,11.81,15
510,taormina,IT,56.98,37.8536,15.2885,84,7.0,77
511,jalu,LY,57.02,29.0331,21.5482,33,6.38,0
512,ukiah,US,65.53,39.1502,-123.2078,42,3.44,1
513,lethem,GY,84.54,3.3803,-59.7968,45,9.82,19
514,tongchuan,CN,42.24,35.0806,109.0897,62,1.59,100
515,zeya,RU,0.88,53.75,127.2667,92,4.12,100
516,ati,TD,70.52,13.2154,18.3353,21,10.83,0
517,grindavik,IS,35.6,63.8424,-22.4338,87,13.8,40
518,sobradinho,BR,73.56,-12.8333,-39.1,84,5.77,0
519,soderhamn,SE,7.48,61.3037,17.0592,74,4.0,49
520,jonuta,MX,84.43,18.0833,-92.1333,66,4.9,1
521,luderitz,NA,66.52,-26.6481,15.1594,78,3.24,46
522,merauke,ID,81.77,-8.4667,140.3333,83,9.04,100
523,tobol,KZ,-0.45,52.6844,62.5794,93,7.38,99
524,antofagasta,CL,69.8,-23.65,-70.4,73,11.5,40
525,okhotsk,RU,21.4,59.3833,143.3,91,14.79,100
526,arshan,RU,41.0,46.2732,44.22,81,20.13,96
527,asfi,MA,58.28,32.2994,-9.2372,81,9.31,0
528,samarai,PG,83.73,-10.6167,150.6667,70,7.16,100
529,umea,SE,-13.0,63.8284,20.2597,84,3.44,0
530,sokoni,TZ,80.6,-6.4333,39.55,83,9.22,75
531,oyem,GA,70.75,1.5995,11.5793,88,2.44,100
532,jaguey grande,CU,77.0,22.5269,-81.1286,78,12.66,40
533,caxhuacan,MX,73.99,20.0667,-97.6,75,3.67,54
534,heinola,FI,3.78,61.2056,26.0381,85,4.61,99
535,zhicheng,CN,44.08,30.2956,111.5047,94,2.39,9
536,port-cartier,CA,9.91,50.0334,-66.8654,47,11.5,20
537,puerto baquerizo moreno,EC,80.6,-0.9,-89.6,89,9.22,75
538,tazovskiy,RU,-25.87,67.4667,78.7,86,8.55,100
539,gat,IL,54.34,31.61,34.7642,89,4.59,0
540,kaduqli,SD,72.12,11.0167,29.7167,22,6.93,58
541,santa cruz,BO,69.8,-17.8,-63.1667,83,8.05,90
542,sorland,NO,19.4,67.667,12.6934,86,6.91,40
543,sale,MA,53.11,34.0389,-6.8166,100,4.29,40
544,baruun-urt,MN,25.77,46.6806,113.2792,92,15.77,81
545,bulgan,MN,12.76,48.8125,103.5347,95,0.51,100
546,kandrian,PG,84.42,-6.2167,149.55,70,10.38,100
547,kalcheva,UA,48.51,45.7374,28.8141,78,8.23,85
548,columbus,US,21.65,39.9612,-82.9988,93,8.05,90
549,tiznit,MA,54.66,29.5833,-9.5,85,0.74,37
550,kuryk,KZ,45.63,43.2,51.65,66,12.53,28
551,taylorville,US,15.35,39.5489,-89.2945,86,14.97,75
